ID,FullName,BirthYear,Country,Username,Gmail,Password,Phone
158023,Lionel Messi,1987,Argentina,lionelmessi1987,lionelmessi1987@gmail.com,#0000001A,09128702069
188545,Robert Lewandowski,1989,Poland,robertlewandowski1989,robertlewandowski1989@gmail.com,#0000002B,09120202972
20801,C. Ronaldo dos Santos Aveiro,1985,Portugal,cronaldodossantosaveiro1985,cronaldodossantosaveiro1985@gmail.com,#0000003C,09126591978
231747,Kylian Mbappé,1999,France,kylianmbapp1999,kylianmbapp1999@gmail.com,#0000004D,09126470042
200389,Jan Oblak,1993,Slovenia,janoblak1993,janoblak1993@gmail.com,#0000005E,09122266351
192985,Kevin De Bruyne,1991,Belgium,kevindebruyne1991,kevindebruyne1991@gmail.com,#0000006F,09129546487
190871,Neymar da Silva Santos Jr.,1992,Brazil,neymardasilvasantosjr1992,neymardasilvasantosjr1992@gmail.com,#0000007G,09125873016
215914,N'Golo Kanté,1991,France,ngolokant1991,ngolokant1991@gmail.com,#0000008H,09123767683
202126,Harry Kane,1994,England,harrykane1994,harrykane1994@gmail.com,#0000009I,09124903470
192448,Marc-André ter Stegen,1992,Germany,marcandrterstegen1992,marcandrterstegen1992@gmail.com,#0000010J,09126863047
167495,Manuel Neuer,1986,Germany,manuelneuer1986,manuelneuer1986@gmail.com,#0000011K,09121338886
200104,Heung Min Son,1993,Korea Republic,heungminson1993,heungminson1993@gmail.com,#0000012L,09121058703
200145,Carlos Henrique Venancio Casimiro,1992,Brazil,carloshenriquevenanciocasimiro1992,carloshenriquevenanciocasimiro1992@gmail.com,#0000013M,09127078301
165153,Karim Benzema,1988,France,karimbenzema1988,karimbenzema1988@gmail.com,#0000014N,09123333317
192119,Thibaut Courtois,1992,Belgium,thibautcourtois1992,thibautcourtois1992@gmail.com,#0000015O,09121760200
208722,Sadio Mané,1992,Senegal,sadioman1992,sadioman1992@gmail.com,#0000016P,09126344444
203376,Virgil van Dijk,1992,Netherlands,virgilvandijk1992,virgilvandijk1992@gmail.com,#0000017Q,09122228998
230621,Gianluigi Donnarumma,1999,Italy,gianluigidonnarumma1999,gianluigidonnarumma1999@gmail.com,#0000018R,09122860303
209331,Mohamed Salah,1992,Egypt,mohamedsalah1992,mohamedsalah1992@gmail.com,#0000019S,09126405050
210257,Ederson Santana de Moraes,1994,Brazil,edersonsantanademoraes1994,edersonsantanademoraes1994@gmail.com,#0000020T,09126921000
212622,Joshua Kimmich,1995,Germany,joshuakimmich1995,joshuakimmich1995@gmail.com,#0000021U,09123323223
212831,Alisson Ramses Becker,1993,Brazil,alissonramsesbecker1993,alissonramsesbecker1993@gmail.com,#0000022V,09121444924
192505,Romelu Lukaku,1993,Belgium,romelulukaku1993,romelulukaku1993@gmail.com,#0000023W,09121007476
155862,Sergio Ramos García,1986,Spain,sergioramosgarca1986,sergioramosgarca1986@gmail.com,#0000024X,09124400045
176580,Luis Suárez,1987,Uruguay,luissurez1987,luissurez1987@gmail.com,#0000025Y,09121100078
182521,Toni Kroos,1990,Germany,tonikroos1990,tonikroos1990@gmail.com,#0000026Z,09127008000
239085,Erling Haaland,2001,Norway,erlinghaaland2001,erlinghaaland2001@gmail.com,#000027AA,09122252622
193041,Keylor Navas,1987,Costa Rica,keylornavas1987,keylornavas1987@gmail.com,#000028AB,09124448424
212198,Bruno Miguel Borges Fernandes,1995,Portugal,brunomiguelborgesfernandes1995,brunomiguelborgesfernandes1995@gmail.com,#000029AC,09122012004
202652,Raheem Sterling,1995,England,raheemsterling1995,raheemsterling1995@gmail.com,#000030AD,09125068079
199556,Marco Verratti,1993,Italy,marcoverratti1993,marcoverratti1993@gmail.com,#000031AE,09120507565
177003,Luka Modrić,1986,Croatia,lukamodri1986,lukamodri1986@gmail.com,#000032AF,09128474943
183898,Ángel Di María,1988,Argentina,ngeldimara1988,ngeldimara1988@gmail.com,#000033AG,09121018736
186153,Wojciech Szczęsny,1990,Poland,wojciechszczsny1990,wojciechszczsny1990@gmail.com,#000034AH,09121104090
189596,Thomas Müller,1990,Germany,thomasmller1990,thomasmller1990@gmail.com,#000035AI,09120966678
